Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Infrastructure\CompanyName.MyMeetings.Modules.Meetings.Infrastructure.csproj,File,Modules\Meetings\Infrastructure\Configuration\Processing\InternalCommands\ProcessInternalCommandsCommandHandler.cs,35,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var policy = Policy                  .Handle<Exception>()                  .WaitAndRetryAsync(new[]                  {                      TimeSpan.FromSeconds(1),                      TimeSpan.FromSeconds(2),                      TimeSpan.FromSeconds(3)                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Infrastructure\CompanyName.MyMeetings.Modules.Meetings.Infrastructure.csproj,File,Modules\Meetings\Infrastructure\Configuration\Processing\InternalCommands\ProcessInternalCommandsCommandHandler.cs,35,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"var policy = Policy                  .Handle<Exception>()                  .WaitAndRetryAsync(new[]                  {                      TimeSpan.FromSeconds(1),                      TimeSpan.FromSeconds(2),                      TimeSpan.FromSeconds(3)                  });"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Meetings\IntegrationEvents\CompanyName.MyMeetings.Modules.Meetings.IntegrationEvents.csproj,File,Modules\Meetings\IntegrationEvents\CompanyName.MyMeetings.Modules.Meetings.IntegrationEvents.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,File,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,File,Modules\Meetings\Tests\IntegrationTests\SeedWork\TestBase.cs,85,12,T:System.Data.SqlClient.SqlConnection,,,,,using (var connection = new SqlConnection(ConnectionString))              {                  var messages = await OutboxMessagesHelper.GetOutboxMessages(connection);                    return OutboxMessagesHelper.Deserialize<T>(messages.Last());              }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,File,Modules\Meetings\Tests\IntegrationTests\SeedWork\TestBase.cs,85,12,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,using (var connection = new SqlConnection(ConnectionString))              {                  var messages = await OutboxMessagesHelper.GetOutboxMessages(connection);                    return OutboxMessagesHelper.Deserialize<T>(messages.Last());              }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,File,Modules\Meetings\Tests\IntegrationTests\SeedWork\TestBase.cs,78,12,T:System.Data.SqlClient.SqlConnection,,,,,await using var sqlConnection = new SqlConnection(ConnectionString);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,File,Modules\Meetings\Tests\IntegrationTests\SeedWork\TestBase.cs,78,12,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,await using var sqlConnection = new SqlConnection(ConnectionString);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,File,Modules\Meetings\Tests\IntegrationTests\SeedWork\TestBase.cs,43,12,T:System.Data.SqlClient.SqlConnection,,,,,using (var sqlConnection = new SqlConnection(ConnectionString))              {                  await ClearDatabase(sqlConnection);              }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Meetings\Tests\IntegrationTests\CompanyName.MyMeetings.Modules.Meetings.IntegrationTests.csproj,File,Modules\Meetings\Tests\IntegrationTests\SeedWork\TestBase.cs,43,12,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,using (var sqlConnection = new SqlConnection(ConnectionString))              {                  await ClearDatabase(sqlConnection);              }
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Payments\Application\CompanyName.MyMeetings.Modules.Payments.Application.csproj,File,Modules\Payments\Application\CompanyName.MyMeetings.Modules.Payments.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Payments\Application\CompanyName.MyMeetings.Modules.Payments.Application.csproj,File,Modules\Payments\Application\Subscriptions\ExpireSubscriptionPayments\ExpireSubscriptionPaymentsCommandHandler.cs,36,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,var timeForPayment = TimeSpan.FromMinutes(20);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Payments\Tests\ArchTests\CompanyName.MyMeetings.Modules.Payments.ArchTests.csproj,File,Modules\Payments\Tests\ArchTests\CompanyName.MyMeetings.Modules.Payments.ArchTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Payments\Domain\CompanyName.MyMeetings.Modules.Payments.Domain.csproj,File,Modules\Payments\Domain\CompanyName.MyMeetings.Modules.Payments.Domain.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Payments\Tests\UnitTests\CompanyName.MyMeetings.Modules.Payments.Domain.UnitTests.csproj,File,Modules\Payments\Tests\UnitTests\CompanyName.MyMeetings.Modules.Payments.Domain.UnitTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\Payments\Infrastructure\CompanyName.MyMeetings.Modules.Payments.Infrastructure.csproj,File,Modules\Payments\Infrastructure\CompanyName.MyMeetings.Modules.Payments.Infrastructure.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Payments\Infrastructure\CompanyName.MyMeetings.Modules.Payments.Infrastructure.csproj,File,Modules\Payments\Infrastructure\Configuration\Quartz\QuartzStartup.cs,143,16,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,trigger =                      TriggerBuilder                          .Create()                          .StartNow()                          .WithSimpleSchedule(x =>                              x.WithInterval(TimeSpan.FromMilliseconds(internalProcessingPoolingInterval.Value))                                  .RepeatForever())                          .Build();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Modules\Payments\Infrastructure\CompanyName.MyMeetings.Modules.Payments.Infrastructure.csproj,File,Modules\Payments\Infrastructure\Configuration\Quartz\QuartzStartup.cs,112,16,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,processInboxTrigger =                      TriggerBuilder                          .Create()                          .StartNow()                          .WithSimpleSchedule(x =>                              x.WithInterval(TimeSpan.FromMilliseconds(internalProcessingPoolingInterval.Value))                                  .RepeatForever())                          .Build();
